surah,ayah,word_idx,reciter,frac_of_ayah,median_frac,z
90,16,2,Minshawy_Murattal_128kbps,0.01818,0.13848,6.07
89,28,1,Hani_Rifai_192kbps,0.17108,0.09555,6.07
107,4,0,Alafasy_128kbps,0.22179,0.40331,6.07
79,18,1,Hani_Rifai_192kbps,0.05236,0.11483,6.05
99,8,1,Abu_Bakr_Ash-Shaatree_128kbps,0.04639,0.12625,6.05
78,30,4,Alafasy_128kbps,0.11594,0.22322,6.02
80,8,2,Abdul_Basit_Murattal_64kbps,0.08772,0.33230,6.01
97,2,1,Alafasy_128kbps,0.57026,0.27643,5.97
96,19,0,Abdul_Basit_Murattal_64kbps,0.33673,0.20898,5.92
89,16,1,Minshawy_Murattal_128kbps,0.18971,0.06559,5.90
94,3,1,Saood_ash-Shuraym_128kbps,0.53738,0.31943,5.89
94,3,0,Saood_ash-Shuraym_128kbps,0.18692,0.44117,5.87
90,5,1,Hani_Rifai_192kbps,0.01980,0.03844,5.87
87,12,0,Saood_ash-Shuraym_128kbps,0.13061,0.22945,5.81
98,6,9,Abu_Bakr_Ash-Shaatree_128kbps,0.25097,0.09428,5.80
92,5,0,Hani_Rifai_192kbps,0.19020,0.36244,5.76
89,23,3,Saood_ash-Shuraym_128kbps,0.06787,0.11837,5.75
91,2,0,Hani_Rifai_192kbps,0.11982,0.34038,5.75
84,15,1,Minshawy_Murattal_128kbps,0.37890,0.17980,5.73
80,23,4,Mohammad_al_Tablaway_128kbps,0.39695,0.18622,5.70
85,4,2,Alafasy_128kbps,0.70879,0.49836,5.70
104,8,1,Alafasy_128kbps,0.20978,0.41123,5.68
85,18,0,Alafasy_128kbps,0.21311,0.41062,5.68
85,6,3,Alafasy_128kbps,0.64803,0.43147,5.63
104,9,2,Mohammad_al_Tablaway_128kbps,0.65843,0.37764,5.61
85,16,0,Alafasy_128kbps,0.19231,0.34724,5.59
79,37,1,Husary_64kbps,0.01829,0.27504,5.56
89,16,1,Alafasy_128kbps,0.18227,0.06559,5.54
81,29,6,Alafasy_128kbps,0.11828,0.06050,5.49
78,24,4,Alafasy_128kbps,0.08828,0.20045,5.46
90,17,8,Husary_64kbps,0.08985,0.15096,5.46
88,13,2,Minshawy_Murattal_128kbps,0.55631,0.38616,5.44
84,7,0,Husary_64kbps,0.05556,0.26329,5.44
83,15,1,Alafasy_128kbps,0.33561,0.19196,5.43
79,18,1,Saood_ash-Shuraym_128kbps,0.17081,0.11483,5.42
78,23,2,Abdul_Basit_Murattal_64kbps,0.59348,0.34651,5.41
96,11,2,Mohammad_al_Tablaway_128kbps,0.06988,0.15182,5.37
89,23,5,Saood_ash-Shuraym_128kbps,0.08209,0.13574,5.33
98,8,17,Saood_ash-Shuraym_128kbps,0.05273,0.03784,5.31
80,33,2,Abu_Bakr_Ash-Shaatree_128kbps,0.29245,0.52665,5.28
98,5,8,Abu_Bakr_Ash-Shaatree_128kbps,0.21441,0.11478,5.26
98,5,13,Hani_Rifai_192kbps,0.07494,0.05403,5.22
78,38,6,Alafasy_128kbps,0.30906,0.13777,5.22
81,29,3,Abdul_Basit_Murattal_64kbps,0.24538,0.11442,5.20
83,20,1,Alafasy_128kbps,0.61171,0.43459,5.16
89,4,0,Abdul_Basit_Murattal_64kbps,0.28395,0.45764,5.12
