surah,ayah,word_idx,reciter,frac_of_ayah,median_frac,z
83,15,0,Alafasy_128kbps,0.04780,0.19000,3.19
85,11,13,Alafasy_128kbps,0.15744,0.08951,3.18
85,17,2,Alafasy_128kbps,0.17611,0.26360,3.18
83,14,5,Hani_Rifai_192kbps,0.05718,0.03828,3.17
104,6,0,Hani_Rifai_192kbps,0.31716,0.23881,3.16
82,19,5,Saood_ash-Shuraym_128kbps,0.08145,0.15981,3.16
98,8,12,Alafasy_128kbps,0.03549,0.02684,3.16
100,8,3,Alafasy_128kbps,0.43164,0.31441,3.16
85,9,9,Minshawy_Murattal_128kbps,0.09241,0.13815,3.15
79,40,2,Abu_Bakr_Ash-Shaatree_128kbps,0.12209,0.09351,3.15
78,14,3,Mohammad_al_Tablaway_128kbps,0.35968,0.27639,3.15
82,19,6,Hani_Rifai_192kbps,0.15996,0.11091,3.14
89,6,5,Alafasy_128kbps,0.41714,0.30536,3.14
79,27,2,Husary_64kbps,0.15728,0.11717,3.13
79,45,0,Mohammad_al_Tablaway_128kbps,0.17114,0.31618,3.13
83,2,5,Alafasy_128kbps,0.39481,0.29998,3.13
104,6,0,Minshawy_Murattal_128kbps,0.31624,0.23881,3.12
98,5,0,Mohammad_al_Tablaway_128kbps,0.03017,0.07199,3.12
84,6,4,Saood_ash-Shuraym_128kbps,0.06259,0.04600,3.10
101,10,3,Saood_ash-Shuraym_128kbps,0.22791,0.15318,3.10
99,8,1,Alafasy_128kbps,0.08535,0.12625,3.10
107,6,0,Alafasy_128kbps,0.16593,0.27953,3.10
107,6,1,Alafasy_128kbps,0.06314,0.11019,3.09
111,3,1,Minshawy_Murattal_128kbps,0.17287,0.35433,3.08
101,10,1,Abdul_Basit_Murattal_64kbps,0.63462,0.35483,3.08
111,1,1,Hani_Rifai_192kbps,0.24088,0.11755,3.07
83,22,2,Alafasy_128kbps,0.10427,0.16014,3.07
85,11,10,Mohammad_al_Tablaway_128kbps,0.18574,0.13391,3.06
82,6,5,Minshawy_Murattal_128kbps,0.13830,0.21970,3.06
79,45,4,Hani_Rifai_192kbps,0.30769,0.18763,3.04
101,4,2,Abdul_Basit_Murattal_64kbps,0.09761,0.20787,3.03
83,24,0,Saood_ash-Shuraym_128kbps,0.18639,0.14123,3.03
82,18,5,Alafasy_128kbps,0.34277,0.23280,3.03
82,6,5,Abdul_Basit_Murattal_64kbps,0.13921,0.21970,3.02
89,10,1,Abdul_Basit_Murattal_64kbps,0.13043,0.08564,3.02
84,8,2,Hani_Rifai_192kbps,0.33097,0.25398,3.02
97,4,3,Hani_Rifai_192kbps,0.15905,0.09853,3.01
98,5,1,Saood_ash-Shuraym_128kbps,0.04695,0.08023,3.01
111,1,4,Saood_ash-Shuraym_128kbps,0.33448,0.18854,3.00
99,5,3,Saood_ash-Shuraym_128kbps,0.07170,0.15838,2.98
109,4,2,Mohammad_al_Tablaway_128kbps,0.19191,0.33332,2.98
92,15,0,Alafasy_128kbps,0.06190,0.09035,2.97
83,31,1,Hani_Rifai_192kbps,0.19128,0.27985,2.97
101,4,1,Abdul_Basit_Murattal_64kbps,0.28913,0.16018,2.97
88,7,5,Minshawy_Murattal_128kbps,0.13718,0.25336,2.96
80,4,0,Saood_ash-Shuraym_128kbps,0.05202,0.07506,2.96
85,8,8,Minshawy_Murattal_128kbps,0.11006,0.16939,2.94
82,17,3,Saood_ash-Shuraym_128kbps,0.17857,0.13373,2.94
99,7,0,Hani_Rifai_192kbps,0.27241,0.18932,2.94
114,4,1,Alafasy_128kbps,0.09177,0.13710,2.94
88,3,0,Alafasy_128kbps,0.72492,0.48240,2.93
88,3,1,Alafasy_128kbps,0.27508,0.51760,2.93
84,23,3,Alafasy_128kbps,0.52463,0.35632,2.93
99,7,4,Hani_Rifai_192kbps,0.10517,0.23571,2.93
114,5,3,Alafasy_128kbps,0.12824,0.18805,2.93
92,1,1,Hani_Rifai_192kbps,0.35193,0.23888,2.92
83,36,5,Minshawy_Murattal_128kbps,0.23684,0.35406,2.91
85,7,2,Alafasy_128kbps,0.04841,0.06940,2.91
83,6,4,Alafasy_128kbps,0.48575,0.34867,2.91
78,32,0,Alafasy_128kbps,0.34328,0.52971,2.91
78,32,1,Alafasy_128kbps,0.65672,0.47029,2.91
95,5,2,Alafasy_128kbps,0.11765,0.16966,2.90
81,14,3,Abu_Bakr_Ash-Shaatree_128kbps,0.48309,0.27514,2.90
85,4,1,Alafasy_128kbps,0.19597,0.31943,2.90
90,5,2,Alafasy_128kbps,0.34454,0.26231,2.90
85,8,5,Hani_Rifai_192kbps,0.13111,0.10076,2.90
83,13,6,Alafasy_128kbps,0.39121,0.23794,2.90
83,31,0,Saood_ash-Shuraym_128kbps,0.10132,0.06978,2.89
83,32,2,Saood_ash-Shuraym_128kbps,0.08344,0.15118,2.89
83,25,1,Abdul_Basit_Murattal_64kbps,0.01505,0.02404,2.89
100,10,2,Abdul_Basit_Murattal_64kbps,0.09787,0.06965,2.88
98,5,7,Minshawy_Murattal_128kbps,0.06825,0.04149,2.88
106,2,3,Alafasy_128kbps,0.40418,0.26429,2.87
78,37,5,Abu_Bakr_Ash-Shaatree_128kbps,0.09442,0.14599,2.87
82,15,2,Alafasy_128kbps,0.51095,0.35405,2.87
95,3,2,Alafasy_128kbps,0.63387,0.46318,2.87
84,22,0,Minshawy_Murattal_128kbps,0.10192,0.07463,2.86
106,3,3,Alafasy_128kbps,0.50466,0.33437,2.85
84,25,8,Alafasy_128kbps,0.36015,0.19379,2.84
84,25,5,Abdul_Basit_Murattal_64kbps,0.09455,0.06987,2.84
85,6,1,Minshawy_Murattal_128kbps,0.16010,0.11400,2.84
107,3,4,Mohammad_al_Tablaway_128kbps,0.49294,0.36300,2.83
104,9,2,Saood_ash-Shuraym_128kbps,0.23629,0.37764,2.82
89,21,0,Abu_Bakr_Ash-Shaatree_128kbps,0.08418,0.22486,2.82
78,39,2,Saood_ash-Shuraym_128kbps,0.08496,0.14690,2.82
78,37,5,Abdul_Basit_Murattal_64kbps,0.19660,0.14599,2.82
98,1,0,Husary_64kbps,0.01684,0.02468,2.81
90,9,0,Alafasy_128kbps,0.18587,0.31086,2.81
85,11,0,Abu_Bakr_Ash-Shaatree_128kbps,0.07903,0.05891,2.80
78,2,1,Alafasy_128kbps,0.13004,0.35059,2.79
85,12,3,Alafasy_128kbps,0.52970,0.37368,2.78
84,13,2,Saood_ash-Shuraym_128kbps,0.12155,0.22122,2.78
85,5,2,Alafasy_128kbps,0.56888,0.41355,2.77
96,6,1,Minshawy_Murattal_128kbps,0.42967,0.22461,2.76
101,3,0,Abdul_Basit_Murattal_64kbps,0.05239,0.30887,2.76
97,1,1,Mohammad_al_Tablaway_128kbps,0.27969,0.46280,2.76
98,8,0,Alafasy_128kbps,0.11969,0.08264,2.74
102,4,1,Alafasy_128kbps,0.14310,0.20635,2.74
89,23,7,Husary_64kbps,0.04950,0.02906,2.73
97,1,0,Mohammad_al_Tablaway_128kbps,0.40517,0.19786,2.73
89,6,5,Minshawy_Murattal_128kbps,0.20833,0.30536,2.72
98,2,1,Hani_Rifai_192kbps,0.02899,0.05014,2.72
91,15,1,Minshawy_Murattal_128kbps,0.42092,0.30533,2.71
107,3,2,Alafasy_128kbps,0.09875,0.14489,2.70
107,1,3,Abdul_Basit_Murattal_64kbps,0.17910,0.31431,2.70
90,8,0,Minshawy_Murattal_128kbps,0.17011,0.12272,2.70
92,11,3,Saood_ash-Shuraym_128kbps,0.19469,0.30359,2.69
114,1,3,Alafasy_128kbps,0.65338,0.49441,2.68
102,8,4,Minshawy_Murattal_128kbps,0.21677,0.34799,2.68
101,3,0,Alafasy_128kbps,0.05992,0.30887,2.68
84,25,2,Minshawy_Murattal_128kbps,0.14460,0.10801,2.68
108,1,2,Alafasy_128kbps,0.16056,0.24133,2.67
85,14,2,Alafasy_128kbps,0.67004,0.48206,2.67
83,36,5,Abdul_Basit_Murattal_64kbps,0.24660,0.35406,2.67
89,21,5,Mohammad_al_Tablaway_128kbps,0.07988,0.17091,2.67
89,17,0,Abdul_Basit_Murattal_64kbps,0.33333,0.20687,2.67
99,7,1,Saood_ash-Shuraym_128kbps,0.05345,0.11483,2.66
79,34,1,Hani_Rifai_192kbps,0.18498,0.26944,2.66
83,32,2,Minshawy_Murattal_128kbps,0.21320,0.15118,2.65
114,4,0,Husary_64kbps,0.09953,0.16125,2.65
107,6,0,Hani_Rifai_192kbps,0.37654,0.27953,2.64
88,5,1,Hani_Rifai_192kbps,0.06646,0.10666,2.64
83,11,3,Alafasy_128kbps,0.43158,0.26045,2.64
96,6,3,Saood_ash-Shuraym_128kbps,0.30372,0.22346,2.63
85,4,0,Alafasy_128kbps,0.09524,0.16113,2.63
93,6,2,Minshawy_Murattal_128kbps,0.21869,0.35211,2.63
80,13,0,Hani_Rifai_192kbps,0.04681,0.10941,2.62
82,6,2,Husary_64kbps,0.06610,0.04893,2.62
81,22,0,Minshawy_Murattal_128kbps,0.16736,0.12764,2.61
85,13,1,Alafasy_128kbps,0.06352,0.10859,2.61
84,6,4,Hani_Rifai_192kbps,0.03208,0.04600,2.60
96,19,1,Abdul_Basit_Murattal_64kbps,0.05918,0.08895,2.60
98,5,12,Alafasy_128kbps,0.15223,0.10155,2.60
80,17,2,Mohammad_al_Tablaway_128kbps,0.01877,0.23415,2.60
113,3,0,Alafasy_128kbps,0.31364,0.22779,2.59
89,28,2,Hani_Rifai_192kbps,0.08289,0.12871,2.59
114,5,1,Alafasy_128kbps,0.13083,0.20204,2.58
97,1,4,Alafasy_128kbps,0.07638,0.12875,2.57
78,39,4,Saood_ash-Shuraym_128kbps,0.24513,0.17305,2.57
90,8,0,Abu_Bakr_Ash-Shaatree_128kbps,0.16779,0.12272,2.56
111,3,3,Saood_ash-Shuraym_128kbps,0.23574,0.14939,2.56
112,3,0,Minshawy_Murattal_128kbps,0.16376,0.11575,2.56
106,4,2,Mohammad_al_Tablaway_128kbps,0.13447,0.09304,2.54
89,7,1,Mohammad_al_Tablaway_128kbps,0.37736,0.28617,2.54
99,3,2,Mohammad_al_Tablaway_128kbps,0.15532,0.10456,2.54
100,10,2,Mohammad_al_Tablaway_128kbps,0.04485,0.06965,2.53
105,5,1,Mohammad_al_Tablaway_128kbps,0.18785,0.35219,2.53
105,1,6,Alafasy_128kbps,0.35662,0.22772,2.53
98,6,13,Husary_64kbps,0.03096,0.02103,2.52
111,2,0,Alafasy_128kbps,0.36093,0.24226,2.51
91,5,2,Minshawy_Murattal_128kbps,0.20339,0.29164,2.51
83,32,2,Hani_Rifai_192kbps,0.09243,0.15118,2.51
83,10,1,Abdul_Basit_Murattal_64kbps,0.34773,0.23788,2.50
89,16,8,Hani_Rifai_192kbps,0.09847,0.15886,2.50
